OrganisationId,OrganisationName,logo_url,authorization_server_url
89,79717d71-0cf4-58f6-b2d0-370d5404d383,BCO XP S.A.,,
90,796fa4b9-5321-4515-b35b-5de27ae9f7dc,Casa do Credito S.A Sociedade de Credito ao Microempreendedor,,
91,777b3ece-75ea-5fa7-a464-dd29b141e99e,Confederacao Nacional das Cooperativas do Sicoob,,
92,73d7035b-3c09-40ab-b4c2-900d9f7a5f1f,Quanto Network Instituicao de Pagamento Ltda.,,
93,713a6187-0765-43a8-8c08-df41c5cae389,BRASIL CARD PAGAMENTOS,,
94,709138dd-6e9d-5f96-bfff-69a5b2cb3ec0,BCO SAFRA S.A.,,
95,6f86d2ab-8ef7-4a9b-8c5f-d081f183c490,Neon Pagamentos,,
96,6d8af6a6-62f9-5489-a136-6cdbfaf2b586,BOFA MERRILL LYNCH BM S.A.,,
97,67fdb0c2-bda1-52d8-a7dc-46ad1548dd76,ITAUVEST DTVM S.A.,,
98,67a8b715-9318-5a6d-b3cd-3d2e8f2b6cb8,BCO RCI BRASIL S.A.,,
99,669dde76-c7a6-535b-8e9b-a8d8ef6b34d6,CREDISAN CC,,
100,65a9cfe4-b7a1-5b59-8e10-3ce0e271b0a5,BCO ARBI S.A.,,
101,63d4b5c5-1a5b-47a8-ac33-36609f934c87,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA.,,
102,61d294e0-7dce-5ef3-97db-aebe989df40c,JUNO,,
103,611fbe39-0dc5-521f-8065-0fe780dd90e0,BCO GUANABARA S.A.,,
104,6029b5af-4c13-52ee-b33d-2bc9fd938bdd,BCO ABC BRASIL S.A.,,
105,5f8b973f-97af-55c9-b58d-5c09f98263cd,MICROINVEST S/A SOC CRED MICRO,,
106,5d249486-c697-5295-a856-9955ed3ac332,BCO MERCANTIL DO BRASIL S.A.,,
107,5b4514ba-7aec-5ad2-90c7-6c9adf4ed398,BCO J.P. MORGAN S.A.,,
108,5702d43c-be28-5b7b-921e-ab8ab9ea3048,CCR COOPAVEL,,
109,56d70da7-b73c-5b59-801a-54fb418e95ed,BCO BANESTES S.A.,,
110,52d0905b-0a8d-5fcb-a0d1-92ab96ab789e,BCO RIBEIRAO PRETO S.A.,,
111,50b67cd8-5f86-5f81-99b5-af83dae25c74,SUMUP SCD S.A.,,
112,4ae2cefb-e3c1-5624-9448-b3aa4777c539,BCO BMG S.A.,,
113,4a7250ec-eac5-5d8f-b7eb-dc0e8e880203,BCO BOCOM BBM S.A.,,
114,486dbae5-2466-4592-9f30-efe1af447903,QUERO-QUERO VERDECARD INSTITUICAO DE PAGAMENTO S.A.,,
115,47f4815d-33d1-5b5c-a8f4-1eb45aaf7113,BANCO INVESTCRED UNIBANCO S.A.,,
116,46f7ca95-cb75-5f0e-9ac6-5d06c3636ae0,BCO ITAÚ BBA S.A.,,
